timestamp,open,high,low,close,vol,oi
2026-06-29 09:15:00+05:30,24065.0,24099.0,24050.1,24090.0,27755.0,9944740.0
2026-06-29 09:16:00+05:30,24092.3,24115.2,24092.3,24115.1,23660.0,9937525.0
2026-06-29 09:17:00+05:30,24115.0,24115.0,24094.1,24096.6,17940.0,9941165.0
2026-06-29 09:18:00+05:30,24100.0,24110.0,24097.5,24106.8,9945.0,9942725.0
2026-06-29 09:19:00+05:30,24109.9,24110.0,24100.2,24100.2,15990.0,9942335.0
2026-06-29 09:20:00+05:30,24104.3,24110.0,24099.3,24107.9,16185.0,9945195.0
2026-06-29 09:21:00+05:30,24109.8,24115.2,24107.2,24114.0,14365.0,9942140.0
2026-06-29 09:22:00+05:30,24115.0,24125.0,24110.0,24119.0,12025.0,9938565.0
2026-06-29 09:23:00+05:30,24119.0,24121.1,24104.6,24109.8,14690.0,9925500.0
2026-06-29 09:24:00+05:30,24105.3,24109.0,24092.0,24092.0,4355.0,9928685.0
2026-06-29 09:25:00+05:30,24097.7,24097.7,24075.0,24084.9,17290.0,9928230.0
2026-06-29 09:26:00+05:30,24088.2,24090.0,24071.1,24071.1,14430.0,9920560.0
2026-06-29 09:27:00+05:30,24071.1,24082.5,24065.8,24078.1,10985.0,9921795.0
2026-06-29 09:28:00+05:30,24076.5,24090.0,24075.0,24088.6,6695.0,9916010.0
2026-06-29 09:29:00+05:30,24087.5,24092.4,24072.0,24079.2,12350.0,9933690.0
2026-06-29 09:30:00+05:30,24079.0,24083.2,24063.1,24063.1,9490.0,9937135.0
2026-06-29 09:31:00+05:30,24065.4,24077.8,24060.0,24062.1,7475.0,9937980.0
2026-06-29 09:32:00+05:30,24060.8,24067.1,24036.9,24051.3,33475.0,9940190.0
2026-06-29 09:33:00+05:30,24064.5,24064.5,24048.8,24054.0,9165.0,9925695.0
2026-06-29 09:34:00+05:30,24054.5,24054.5,24040.0,24040.0,5915.0,9925045.0
2026-06-29 09:35:00+05:30,24036.0,24040.3,24030.0,24031.0,10790.0,9924720.0
2026-06-29 09:36:00+05:30,24032.0,24042.0,24030.0,24040.0,28665.0,9925825.0
2026-06-29 09:37:00+05:30,24035.6,24052.0,24035.5,24051.0,11700.0,9915815.0
2026-06-29 09:38:00+05:30,24048.6,24060.0,24040.0,24060.0,8710.0,9916595.0
2026-06-29 09:39:00+05:30,24059.9,24075.0,24059.9,24074.8,10140.0,9910160.0
2026-06-29 09:40:00+05:30,24075.0,24089.0,24065.5,24088.0,13780.0,9910940.0
