Entry_Time,Symbol,TF_Combo,Trade_Type,Weekly_Expiry,Future_Price,Sell_Leg,Buy_Leg,Sell_Entry_Price,Buy_Entry_Price,Net_Credit_Received,Stop_Loss,Take_Profit_Target
2026-06-30 09:45,NIFTY,3min/15min,Bear Call Spread,2026-06-30,23875.0,23900 CE,24000 CE,57.45,26.6,30.85,66.07,9.26
2026-07-02 09:36,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24234.4,24250 PE,24150 PE,175.4,123.7,51.7,201.71,15.51
2026-07-02 13:39,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24226.5,24250 PE,24150 PE,168.5,114.9,53.6,193.77,16.08
2026-07-06 09:30,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24419.0,24400 PE,24300 PE,94.0,48.5,45.5,108.1,13.65
2026-07-06 10:21,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24466.0,24450 PE,24350 PE,103.7,53.7,50.0,119.25,15.0
2026-07-06 10:48,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24477.0,24500 PE,24400 PE,124.2,66.5,57.7,142.83,17.31
2026-07-06 12:00,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24485.7,24500 PE,24400 PE,111.4,58.1,53.3,128.11,15.99
2026-07-07 09:42,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24504.4,24500 PE,24400 PE,68.85,21.5,47.35,79.18,14.21
2026-07-07 11:03,NIFTY,3min/15min,Bull Put Spread,2026-07-07,24538.5,24550 PE,24450 PE,77.45,21.6,55.85,89.07,16.75
2026-07-07 15:00,NIFTY,3min/15min,Bear Call Spread,2026-07-07,24457.4,24450 CE,24550 CE,2.1,0.2,1.9,2.42,0.57
2026-07-08 12:09,NIFTY,3min/15min,Bear Call Spread,2026-07-14,24260.0,24250 CE,24350 CE,120.55,80.4,40.15,138.63,12.04
2026-07-09 13:33,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24114.0,24100 PE,24000 PE,151.3,106.3,45.0,174.0,13.5
2026-07-09 14:39,NIFTY,3min/15min,Bear Call Spread,2026-07-14,24073.8,24050 CE,24150 CE,130.15,84.65,45.5,149.67,13.65
2026-07-09 15:03,NIFTY,3min/15min,Bear Call Spread,2026-07-14,23993.1,24000 CE,24100 CE,121.65,79.3,42.35,139.9,12.71
2026-07-10 12:00,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24220.0,24200 PE,24100 PE,114.65,72.0,42.65,131.85,12.79
2026-07-10 14:24,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24245.0,24250 PE,24150 PE,130.1,82.0,48.1,149.61,14.43
2026-07-13 12:27,NIFTY,3min/15min,Bull Put Spread,2026-07-14,24208.0,24200 PE,24100 PE,108.55,65.4,43.15,124.83,12.94
