Symbol,Timeframes,Total_Trades
NIFTY,10min/60min,6
NIFTY,3min/15min,37
NIFTY,5min/30min,24
SENSEX,10min/60min,11
SENSEX,3min/15min,28
SENSEX,5min/30min,16
