Symbol,Timeframes,Total_Trades
NIFTY,10min/60min,151
NIFTY,3min/15min,463
NIFTY,5min/30min,291
SENSEX,10min/60min,148
SENSEX,3min/15min,335
SENSEX,5min/30min,225
