Symbol,Timeframes,Total_Trades
NIFTY,10min/60min,157
NIFTY,3min/15min,499
NIFTY,5min/30min,314
SENSEX,10min/60min,159
SENSEX,3min/15min,365
SENSEX,5min/30min,242
